ID,Organisation,Country,Latitude,Longitude
550,Arianespace,France,46.227638,2.213749
551,VKS RF,Russia,61.52401,105.318756
552,VKS RF,Russia,61.52401,105.318756
553,ULA,USA,37.09024,-95.712891
554,ISRO,India,20.593684,78.96288
555,Kosmotras,Russia,61.52401,105.318756
556,Sea Launch,Pacific Ocean,,
557,MHI,Japan,36.204824,138.252924
558,VKS RF,Russia,61.52401,105.318756
559,ULA,USA,37.09024,-95.712891
560,ULA,USA,37.09024,-95.712891
561,Arianespace,France,46.227638,2.213749
562,SpaceX,USA,37.09024,-95.712891
563,ULA,USA,37.09024,-95.712891
564,IAI,Israel,31.046051,34.851612
565,ISRO,India,20.593684,78.96288
566,Arianespace,France,46.227638,2.213749
567,ULA,USA,37.09024,-95.712891
568,Arianespace,France,46.227638,2.213749
569,MHI,Japan,36.204824,138.252924
570,ULA,USA,37.09024,-95.712891
571,Arianespace,France,46.227638,2.213749
572,ULA,USA,37.09024,-95.712891
573,Northrop,USA,37.09024,-95.712891
574,SpaceX,USA,37.09024,-95.712891
575,ISRO,India,20.593684,78.96288
576,VKS RF,Russia,61.52401,105.318756
577,VKS RF,Russia,61.52401,105.318756
578,Arianespace,France,46.227638,2.213749
579,ULA,USA,37.09024,-95.712891
580,SpaceX,USA,37.09024,-95.712891
581,VKS RF,Russia,61.52401,105.318756
582,Kosmotras,Russia,61.52401,105.318756
583,Northrop,USA,37.09024,-95.712891
584,ULA,USA,37.09024,-95.712891
585,ISRO,India,20.593684,78.96288
586,SpaceX,USA,37.09024,-95.712891
587,CASIC,China,35.86166,104.195397
588,ULA,USA,37.09024,-95.712891
589,JAXA,Japan,36.204824,138.252924
590,Northrop,USA,37.09024,-95.712891
591,VKS RF,Russia,61.52401,105.318756
592,Northrop,USA,37.09024,-95.712891
593,Land Launch,Kazakhstan,48.019573,66.923684
594,Arianespace,France,46.227638,2.213749
595,ULA,USA,37.09024,-95.712891
596,Kosmotras,Russia,61.52401,105.318756
597,ULA,USA,37.09024,-95.712891
598,MHI,Japan,36.204824,138.252924
599,Arianespace,France,46.227638,2.213749
600,ULA,USA,37.09024,-95.712891
601,VKS RF,Kazakhstan,48.019573,66.923684
602,ISRO,India,20.593684,78.96288
603,Northrop,USA,37.09024,-95.712891
604,VKS RF,Kazakhstan,48.019573,66.923684
605,Arianespace,France,46.227638,2.213749
606,CASC,China,35.86166,104.195397
607,Arianespace,France,46.227638,2.213749
608,ULA,USA,37.09024,-95.712891
609,ULA,USA,37.09024,-95.712891
610,Arianespace,France,46.227638,2.213749
611,Northrop,USA,37.09024,-95.712891
612,ULA,USA,37.09024,-95.712891
613,SpaceX,USA,37.09024,-95.712891
614,ISRO,India,20.593684,78.96288
615,ULA,USA,37.09024,-95.712891
616,Arianespace,France,46.227638,2.213749
617,Sea Launch,Pacific Ocean,,
618,ULA,USA,37.09024,-95.712891
619,KARI,South Korea,35.907757,127.766922
620,MHI,Japan,36.204824,138.252924
621,VKS RF,Russia,61.52401,105.318756
622,Arianespace,France,46.227638,2.213749
623,KCST,North Korea,40.339852,127.510093
624,ULA,USA,37.09024,-95.712891
625,Sea Launch,Pacific Ocean,,
626,Arianespace,France,46.227638,2.213749
627,Arianespace,France,46.227638,2.213749
628,Arianespace,France,46.227638,2.213749
629,SpaceX,USA,37.09024,-95.712891
630,ULA,USA,37.09024,-95.712891
631,Arianespace,France,46.227638,2.213749
632,ISA,Iran,32.427908,53.688046
633,ULA,USA,37.09024,-95.712891
634,ISRO,India,20.593684,78.96288
635,ULA,USA,37.09024,-95.712891
636,Sea Launch,Pacific Ocean,,
637,Arianespace,France,46.227638,2.213749
638,VKS RF,Russia,61.52401,105.318756
639,MHI,Japan,36.204824,138.252924
640,Arianespace,France,46.227638,2.213749
641,ULA,USA,37.09024,-95.712891
642,ULA,USA,37.09024,-95.712891
643,CASC,China,35.86166,104.195397
644,Northrop,USA,37.09024,-95.712891
645,Sea Launch,Pacific Ocean,,
646,ISA,Iran,32.427908,53.688046
647,SpaceX,USA,37.09024,-95.712891
648,MHI,Japan,36.204824,138.252924
649,Arianespace,France,46.227638,2.213749
650,ULA,USA,37.09024,-95.712891
651,ISRO,India,20.593684,78.96288
652,ISRO,India,20.593684,78.96288
653,KCST,North Korea,40.339852,127.510093
654,ULA,USA,37.09024,-95.712891
655,Arianespace,France,46.227638,2.213749
656,ULA,USA,37.09024,-95.712891
657,ESA,France,46.227638,2.213749
658,ISA,Iran,32.427908,53.688046
659,ULA,USA,37.09024,-95.712891
660,Arianespace,France,46.227638,2.213749
661,MHI,Japan,36.204824,138.252924
