ID,Organisation,Country,Latitude,Longitude,Year
536,ISRO,India,20.593684,78.96288,2014
537,MHI,Japan,36.204824,138.252924,2014
538,SpaceX,USA,37.09024,-95.712891,2014
539,ULA,USA,37.09024,-95.712891,2014
540,Arianespace,France,46.227638,2.213749,2014
541,SpaceX,USA,37.09024,-95.712891,2014
542,Arianespace,France,46.227638,2.213749,2014
543,ULA,USA,37.09024,-95.712891,2014
544,SpaceX,USA,37.09024,-95.712891,2014
545,ULA,USA,37.09024,-95.712891,2014
546,Arianespace,France,46.227638,2.213749,2014
547,ULA,USA,37.09024,-95.712891,2014
548,SpaceX,USA,37.09024,-95.712891,2014
549,Northrop,USA,37.09024,-95.712891,2014
550,Arianespace,France,46.227638,2.213749,2014
551,VKS RF,Russia,61.52401,105.318756,2014
552,VKS RF,Russia,61.52401,105.318756,2014
553,ULA,USA,37.09024,-95.712891,2014
554,ISRO,India,20.593684,78.96288,2014
555,Kosmotras,Russia,61.52401,105.318756,2014
556,Sea Launch,Pacific Ocean,,,2014
557,MHI,Japan,36.204824,138.252924,2014
558,VKS RF,Russia,61.52401,105.318756,2014
559,ULA,USA,37.09024,-95.712891,2014
560,ULA,USA,37.09024,-95.712891,2014
561,Arianespace,France,46.227638,2.213749,2014
562,SpaceX,USA,37.09024,-95.712891,2014
563,ULA,USA,37.09024,-95.712891,2014
564,IAI,Israel,31.046051,34.851612,2014
565,ISRO,India,20.593684,78.96288,2014
566,Arianespace,France,46.227638,2.213749,2014
567,ULA,USA,37.09024,-95.712891,2014
568,Arianespace,France,46.227638,2.213749,2014
569,MHI,Japan,36.204824,138.252924,2014
570,ULA,USA,37.09024,-95.712891,2014
571,Arianespace,France,46.227638,2.213749,2014
572,ULA,USA,37.09024,-95.712891,2014
573,Northrop,USA,37.09024,-95.712891,2014
574,SpaceX,USA,37.09024,-95.712891,2014
575,ISRO,India,20.593684,78.96288,2014
576,VKS RF,Russia,61.52401,105.318756,2013
577,VKS RF,Russia,61.52401,105.318756,2013
578,Arianespace,France,46.227638,2.213749,2013
579,ULA,USA,37.09024,-95.712891,2013
580,SpaceX,USA,37.09024,-95.712891,2013
