ID,Organisation,Location,Detail,Rocket_Status,Price(USDbillion),Mission_Status,New_Date,Year,Months,Country,Latitude,Longitude
106,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Safir-1B+ | Nahid-1,StatusActive,,Prelaunch Failure,8/29/2019,2019,August,Iran,32.427908,53.688046
107,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Delta IV Medium+ (4,2) | GPS III SV02",StatusRetired,$164.00 ,Success,8/22/2019,2019,August,USA,37.09024,-95.712891
108,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Soyuz MS-14 (60S),StatusActive,$48.50 ,Success,8/22/2019,2019,August,Kazakhstan,48.019573,66.923684
109,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Electron/Curie | Look Ma, No Hands!",StatusActive,$7.50 ,Success,8/19/2019,2019,August,New Zealand,-40.900557,174.885971
110,CASC,"LC-2, Xichang Satellite Launch Center, China",Long March 3B/E | ChinaSat 18,StatusActive,$29.15 ,Success,8/19/2019,2019,August,China,35.86166,104.195397
111,CASC,"Site 95, Jiuquan Satellite Launch Center, China",Jielong-1 | Tianqi-4 & Others,StatusActive,$7.50 ,Success,8/17/2019,2019,August,China,35.86166,104.195397
112,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",Atlas V 551 | AEHF 5,StatusActive,$153.00 ,Success,8/8/2019,2019,August,USA,37.09024,-95.712891
113,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | AMOS-17,StatusActive,$50.00 ,Success,8/6/2019,2019,August,USA,37.09024,-95.712891
114,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 ECA | EDRS-C/HYLAS 3 & Intelsat 39,StatusActive,$200.00 ,Success,8/6/2019,2019,August,France,46.227638,2.213749
115,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Proton-M/Briz-M | Cosmos 2539,StatusActive,$65.00 ,Success,8/5/2019,2019,August,Kazakhstan,48.019573,66.923684
116,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Soyuz 2.1a | Progress MS-12,StatusActive,$48.50 ,Success,7/31/2019,2019,July,Kazakhstan,48.019573,66.923684
117,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1a/Fregat-M | Meridian-M n†­18L,StatusActive,$48.50 ,Success,7/30/2019,2019,July,Russia,61.52401,105.318756
118,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 2C | Yaogan-30-05,StatusActive,$30.80 ,Success,7/26/2019,2019,July,China,35.86166,104.195397
119,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",Falcon 9 Block 5 | CRS-18,StatusActive,$50.00 ,Success,7/25/2019,2019,July,USA,37.09024,-95.712891
120,i-Space,"Site 95, Jiuquan Satellite Launch Center, China",Hyperbola-1 | CAS-7B & Others,StatusActive,,Success,7/25/2019,2019,July,China,35.86166,104.195397
121,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",GSLV Mk III | Chandrayaan-2 lunar mission,StatusActive,$62.00 ,Success,7/22/2019,2019,July,India,20.593684,78.96288
122,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Soyuz FG | Soyuz MS-13 (59S),StatusRetired,,Success,7/20/2019,2019,July,Kazakhstan,48.019573,66.923684
123,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Proton-M/DM-3 | Spektr-RG,StatusActive,$65.00 ,Success,7/13/2019,2019,July,Kazakhstan,48.019573,66.923684
124,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",Vega | Falcon Eye 1,StatusActive,$37.00 ,Failure,7/11/2019,2019,July,France,46.227638,2.213749
125,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Soyuz 2.1v/Volga | Cosmos 2535 to 2538,StatusActive,,Success,7/10/2019,2019,July,Russia,61.52401,105.318756
126,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia","Soyuz 2.1b/Fregat-M | Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others",StatusActive,,Success,7/5/2019,2019,July,Russia,61.52401,105.318756
127,Exos,"Vertical Launch Area, Spaceport America, New Mexico",SARGE | Launch 3,StatusActive,,Partial Failure,6/29/2019,2019,June,New Mexico,,
128,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",Electron/Curie | Make it Rain,StatusActive,$7.50 ,Success,6/29/2019,2019,June,New Zealand,-40.900557,174.885971
129,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",Falcon Heavy | STP-2,StatusActive,$90.00 ,Success,6/25/2019,2019,June,USA,37.09024,-95.712891
130,CASC,"LC-3, Xichang Satellite Launch Center, China",Long March 3B/E | Beidou-3 IGSO-2,StatusActive,$29.15 ,Success,6/24/2019,2019,June,China,35.86166,104.195397
131,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",Ariane 5 ECA | Eutelsat 7C &  AT&T T-16,StatusActive,$200.00 ,Success,6/20/2019,2019,June,France,46.227638,2.213749
132,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",Falcon 9 Block 5 | RADARSAT Constellation,StatusActive,$50.00 ,Success,6/12/2019,2019,June,USA,37.09024,-95.712891
